RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4455,15641312,Paterson,615,France,Male,36,6,0.0,1,1,1,27011.8,1
6823,15605264,Walker,669,Germany,Male,47,0,63723.78,2,1,1,181928.25,0
9727,15662494,Goliwe,773,Spain,Male,43,7,138150.57,1,1,1,177357.16,0
7432,15705379,Upjohn,678,France,Male,38,3,0.0,2,1,0,66561.6,0
1841,15569209,Amaechi,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0
4078,15659236,Iadanza,781,Spain,Male,33,3,0.0,2,1,1,42556.33,0
3843,15717185,Udinese,711,France,Male,28,8,0.0,2,1,1,64286.39,0
3689,15662578,Dettmann,679,Germany,Male,35,1,110245.13,1,1,1,178291.09,0
6229,15733138,Paterson,663,Germany,Male,42,5,90248.79,1,1,1,79169.73,0
6501,15625964,Buckley,582,France,Female,43,5,153313.67,1,0,0,170563.73,0
2196,15735246,Norman,798,Spain,Female,58,9,0.0,2,0,0,119071.56,1
2115,15746594,Wu,732,Spain,Male,33,8,0.0,1,1,0,119882.7,0
3996,15633666,Efremov,701,Spain,Female,33,7,123870.07,1,1,0,97794.71,0
2171,15662151,Gould,554,France,Male,40,4,0.0,1,0,1,168780.04,0
3035,15668504,Lucchesi,770,France,Male,36,2,89800.14,1,1,1,105922.69,0
7388,15690898,Bogolyubova,696,France,Male,44,8,161889.79,1,0,0,75562.47,0
9212,15605531,Daly,457,Spain,Female,38,6,0.0,2,1,0,173219.09,0
5556,15572398,Townsend,614,Spain,Female,39,6,0.0,2,1,1,164018.98,0
7017,15790254,Wood,741,Spain,Male,50,1,78737.61,1,1,1,13018.96,0
6735,15723318,Mactier,619,France,Female,55,0,0.0,3,0,0,60810.64,1
4214,15572145,Ashton,767,France,Female,34,8,0.0,2,1,0,94767.77,0
3335,15702300,Walker,671,France,Male,27,5,0.0,2,0,0,120893.07,0
1635,15735222,Ignatieff,705,Spain,Female,23,5,0.0,2,1,1,73131.73,0
8441,15781127,Giordano,663,Spain,Female,33,8,96769.04,1,1,1,36864.05,0
7301,15788224,Sanderson,669,Germany,Male,45,1,123949.75,1,0,0,110881.56,0
2537,15752026,Hammer,691,France,Male,58,3,0.0,1,0,1,194930.3,1
7560,15696120,Wallace,701,Spain,Female,30,2,0.0,2,1,0,115650.63,0
6002,15606887,Singh,775,France,Female,30,5,0.0,1,1,0,193880.6,1
9057,15793311,Smith,765,Germany,Female,46,8,119492.88,2,0,1,166896.01,1
4069,15704910,Rios,631,Spain,Male,23,3,0.0,2,1,0,13813.24,0
4682,15742971,Whitehead,708,France,Female,44,2,161887.81,2,1,0,84870.23,0
3495,15568120,Lacross,681,France,Female,37,7,69609.85,1,1,1,72127.83,0
3338,15647385,Ch'iu,579,Spain,Male,56,4,99340.83,1,0,0,4523.74,1
4230,15808326,Maslov,592,France,Female,34,9,0.0,2,1,1,20460.2,0
4300,15711991,Chiawuotu,615,France,Male,30,8,0.0,2,0,0,3183.15,0
4964,15652084,Boni,515,France,Male,40,0,109542.29,1,1,1,166370.81,0
5082,15757537,Francis,610,France,Female,31,6,107784.65,1,1,1,141137.53,0
